   1)   0.658 us    |      }
   1)               |      alloc_set_pte() {
   1)               |        page_add_file_rmap() {
   1)   0.165 us    |          lock_page_memcg();
   1)   0.054 us    |          unlock_page_memcg();
   1)   1.178 us    |        }
   1)   1.718 us    |      }
   1)               |      unlock_page() {
   1)   0.129 us    |        __wake_up_bit();
   1)   0.658 us    |      }
   1)               |      alloc_set_pte() {
   1)               |        page_add_file_rmap() {
   1)   0.062 us    |          lock_page_memcg();
   1)   0.063 us    |          unlock_page_memcg();
   1)   1.101 us    |        }
   1)   1.630 us    |      }
   1)               |      unlock_page() {
   1)   0.121 us    |        __wake_up_bit();
   1)   0.639 us    |      }
   1)               |      alloc_set_pte() {
   1)               |        page_add_file_rmap() {
   1)   0.054 us    |          lock_page_memcg();
   1)   0.057 us    |          unlock_page_memcg();
   1)   0.971 us    |        }
   1)   1.421 us    |      }
   1)               |      unlock_page() {
   1)   0.127 us    |        __wake_up_bit();
   1)   0.668 us    |      }
   1)               |      alloc_set_pte() {
   1)               |        page_add_file_rmap() {
   1)   0.066 us    |          lock_page_memcg();
   1)   0.065 us    |          unlock_page_memcg();
   1)   1.186 us    |        }
   1)   1.713 us    |      }
   1)               |      unlock_page() {
   1)   0.123 us    |        __wake_up_bit();
   1)   0.621 us    |      }
   1)               |      alloc_set_pte() {
   1)               |        page_add_file_rmap() {
   1)   0.065 us    |          lock_page_memcg();
   1)   0.057 us    |          unlock_page_memcg();
   1)   1.116 us    |        }
   1)   1.630 us    |      }
   1)               |      unlock_page() {
   1)   0.129 us    |        __wake_up_bit();
   1)   0.666 us    |      }
   1) + 57.230 us   |    }
   1) + 59.001 us   |  }
