   1)   0.032 us    |                  PageHuge();
   1)   0.034 us    |                  unlock_page_memcg();
   1)   0.852 us    |                }
   1)   0.033 us    |                __tlb_remove_page_size.part.60();
   1)   0.034 us    |                vm_normal_page();
   1)   0.031 us    |                mark_page_accessed();
   1)               |                page_remove_rmap() {
   1)   0.031 us    |                  lock_page_memcg();
   1)   0.033 us    |                  PageHuge();
   1)   0.033 us    |                  unlock_page_memcg();
   1)   0.845 us    |                }
   1)   0.029 us    |                __tlb_remove_page_size.part.60();
   1)   0.031 us    |                vm_normal_page();
   1)   0.034 us    |                mark_page_accessed();
   1)               |                page_remove_rmap() {
   1)   0.031 us    |                  lock_page_memcg();
   1)   0.034 us    |                  PageHuge();
   1)   0.033 us    |                  unlock_page_memcg();
   1)   0.844 us    |                }
   1)   0.031 us    |                __tlb_remove_page_size.part.60();
   1)   0.034 us    |                vm_normal_page();
   1)   0.036 us    |                mark_page_accessed();
   1)               |                page_remove_rmap() {
   1)   0.030 us    |                  lock_page_memcg();
   1)   0.033 us    |                  PageHuge();
   1)   0.034 us    |                  unlock_page_memcg();
   1)   0.851 us    |                }
   1)   0.033 us    |                __tlb_remove_page_size.part.60();
   1)   0.030 us    |                vm_normal_page();
   1)   0.034 us    |                mark_page_accessed();
   1)               |                page_remove_rmap() {
   1)   0.029 us    |                  lock_page_memcg();
   1)   0.034 us    |                  PageHuge();
   1)   0.032 us    |                  unlock_page_memcg();
   1)   0.849 us    |                }
   1)   0.032 us    |                __tlb_remove_page_size.part.60();
   1)   0.031 us    |                vm_normal_page();
   1)   0.034 us    |                mark_page_accessed();
   1)               |                page_remove_rmap() {
   1)   0.031 us    |                  lock_page_memcg();
   1)   0.033 us    |                  PageHuge();
   1)   0.034 us    |                  unlock_page_memcg();
   1)   0.858 us    |                }
   1)   0.030 us    |                __tlb_remove_page_size.part.60();
   1)   0.030 us    |                vm_normal_page();
   1)   0.034 us    |                mark_page_accessed();
   1)               |                page_remove_rmap() {
   1)   0.040 us    |                  lock_page_memcg();
   1)   0.043 us    |                  PageHuge();
   1)   0.042 us    |                  unlock_page_memcg();
   1)   1.339 us    |                }
